Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,230.05,230.3,228.2,229.3,229.5,486572.0,1116.1
2014-01-01,230.0,232.5,229.35,230.65,230.8,538938.0,1245.88
2014-01-02,229.5,235.95,225.1,226.4,226.35,1570396.0,3644.92
2014-01-03,226.0,228.75,224.0,228.25,227.4,818984.0,1858.24
2014-01-06,228.0,230.3,225.55,227.35,227.8,497192.0,1134.7
2014-01-07,230.0,230.9,224.8,226.0,226.05,713955.0,1617.05
2014-01-08,226.9,226.95,222.1,223.2,222.75,878308.0,1969.04
2014-01-09,225.15,227.45,221.4,223.75,223.85,1126716.0,2526.63
2014-01-10,224.0,227.25,219.0,220.05,220.25,983757.0,2199.65
2014-01-13,221.0,223.4,214.1,220.95,221.1,1253786.0,2771.38
2014-01-14,221.25,222.4,220.0,220.65,221.0,364394.0,805.36
2014-01-15,221.15,222.25,216.15,218.0,218.05,1060362.0,2317.57
2014-01-16,218.05,219.7,216.65,217.5,218.2,809129.0,1763.79
2014-01-17,216.7,220.75,216.55,217.15,217.05,645915.0,1410.21
2014-01-20,216.1,217.95,215.0,216.4,216.5,392820.0,850.25
2014-01-21,217.0,220.3,216.1,217.4,217.8,875408.0,1912.46
2014-01-22,217.2,219.25,216.25,216.75,217.35,656092.0,1427.75
2014-01-23,216.75,227.4,216.2,227.1,225.35,2570554.0,5757.57
2014-01-24,226.4,227.9,218.0,219.2,218.7,2042034.0,4538.48
2014-01-27,217.0,218.0,212.35,216.35,215.85,830741.0,1789.87
2014-01-28,216.5,218.6,214.95,216.95,217.0,440878.0,956.03
2014-01-29,218.4,219.0,212.0,213.55,214.65,1075952.0,2324.14
2014-01-30,210.0,224.4,202.45,222.0,222.8,5930481.0,12833.97
2014-01-31,222.8,223.5,216.65,220.7,221.55,1223691.0,2692.15
2014-02-03,220.15,227.5,218.65,219.7,219.95,1428280.0,3192.93
2014-02-04,218.7,225.9,217.1,222.3,221.75,1093372.0,2432.09
2014-02-05,221.2,224.0,219.0,220.8,220.9,545189.0,1204.59
2014-02-06,221.9,226.2,219.35,225.75,225.55,977396.0,2181.76
2014-02-07,226.05,228.6,223.15,225.15,225.7,1025574.0,2316.99
2014-02-10,225.0,233.75,223.6,230.6,230.95,1757160.0,4052.17
2014-02-11,231.25,235.65,230.1,232.15,232.3,1510573.0,3529.0
2014-02-12,233.0,233.8,228.6,229.15,230.3,714283.0,1654.06
2014-02-13,230.0,232.0,226.6,229.0,229.35,755689.0,1735.15
2014-02-14,230.0,232.6,226.65,232.5,231.55,723069.0,1663.57
2014-02-17,233.65,236.3,225.15,229.0,228.95,2328888.0,5386.34
2014-02-18,231.0,231.0,225.95,228.05,228.65,609396.0,1393.33
2014-02-19,228.9,233.9,228.2,232.3,232.6,1306199.0,3028.9
2014-02-20,233.0,237.8,231.1,233.9,234.15,1303544.0,3067.58
2014-02-21,235.2,236.8,232.8,233.6,234.05,691017.0,1621.1
2014-02-24,234.7,237.5,231.5,237.35,235.7,729670.0,1711.07
2014-02-25,237.35,244.3,236.5,243.05,243.2,2388002.0,5766.9
2014-02-26,244.5,247.3,242.5,244.4,245.6,1495138.0,3668.51
2014-02-28,246.1,246.9,240.05,242.2,242.5,716553.0,1741.79
2014-03-03,242.5,251.5,239.5,249.0,249.25,2029854.0,5037.02
2014-03-04,250.5,258.4,250.3,254.05,254.8,2544333.0,6477.79
2014-03-05,252.55,252.85,244.0,245.7,245.65,1424629.0,3515.43
2014-03-06,245.6,250.6,243.15,245.95,246.8,1075669.0,2651.23
2014-03-07,249.6,256.4,246.0,254.3,255.0,1893634.0,4765.24
2014-03-10,254.0,258.5,249.3,250.1,250.55,1527237.0,3865.09
2014-03-11,252.25,254.5,247.0,250.2,248.75,1189688.0,2967.83
2014-03-12,248.5,257.0,248.4,252.1,252.25,1350784.0,3428.77
2014-03-13,254.0,258.5,248.4,250.5,251.65,1672077.0,4274.71
2014-03-14,251.75,254.35,248.5,254.0,253.15,653400.0,1644.38
2014-03-18,254.95,257.0,253.15,254.9,255.35,1294867.0,3305.43
2014-03-19,256.0,257.25,251.55,254.3,254.85,829853.0,2116.4
2014-03-20,257.0,262.45,252.0,253.75,253.4,2161044.0,5566.44
2014-03-21,256.4,257.4,253.4,255.1,255.0,948531.0,2426.79
2014-03-22,255.0,256.5,254.05,255.1,254.95,52070.0,132.95
2014-03-24,254.3,258.5,251.15,252.55,252.9,637996.0,1622.34
2014-03-25,253.05,257.3,253.05,255.0,255.4,654922.0,1672.64
2014-03-26,256.0,256.9,248.2,249.5,248.75,658823.0,1657.61
2014-03-27,249.2,254.65,246.1,254.1,253.8,1316243.0,3311.0
2014-03-28,254.8,256.1,250.4,253.15,253.15,674424.0,1704.88
2014-03-31,255.0,268.35,254.1,262.4,262.7,2092440.0,5524.23
2014-04-01,266.45,268.0,260.6,264.95,265.15,986673.0,2615.64
2014-04-02,266.45,267.0,263.0,265.25,265.35,357890.0,947.91
2014-04-03,266.0,270.85,263.0,270.0,268.0,1540496.0,4135.97
2014-04-04,270.1,274.3,266.0,267.9,269.8,961371.0,2610.93
2014-04-07,269.0,269.0,260.1,262.9,262.75,856375.0,2244.81
2014-04-09,263.1,265.9,261.85,265.45,264.25,832258.0,2198.05
2014-04-10,263.2,267.9,262.2,263.5,262.95,638846.0,1687.94
2014-04-11,262.0,266.4,261.5,262.4,262.75,470768.0,1241.43
2014-04-15,260.35,265.3,255.45,257.7,257.4,667585.0,1732.7
2014-04-16,257.0,262.0,254.6,256.2,255.65,580798.0,1501.21
