Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,475.0,478.0,469.9,471.0,472.25,48839.0,231.47
2014-01-01,472.05,477.7,468.6,469.0,469.95,67564.0,319.54
2014-01-02,472.0,474.7,460.0,469.9,469.95,661161.0,3107.6
2014-01-03,468.95,472.2,460.25,468.1,469.3,54614.0,255.56
2014-01-06,472.0,477.0,466.0,469.8,469.05,98398.0,464.69
2014-01-07,473.5,474.7,461.5,472.5,471.6,75500.0,353.65
2014-01-08,468.85,478.9,468.4,468.5,472.35,120175.0,571.38
2014-01-09,474.85,474.85,463.95,468.0,466.3,27745.0,130.13
2014-01-10,469.0,477.9,462.5,466.0,465.9,99347.0,467.42
2014-01-13,468.0,474.0,468.0,471.3,471.05,33480.0,157.83
2014-01-14,472.0,473.5,466.0,470.0,469.45,29281.0,137.55
2014-01-15,473.25,475.95,470.25,475.05,475.05,70314.0,332.99
2014-01-16,471.25,481.6,471.25,476.0,475.8,76296.0,363.43
2014-01-17,477.8,478.0,471.1,475.5,475.15,72734.0,344.69
2014-01-20,475.15,478.5,472.85,476.25,475.7,22163.0,105.35
2014-01-21,478.4,490.0,470.0,475.0,473.85,85114.0,405.75
2014-01-22,496.5,533.3,496.5,510.6,511.6,1248186.0,6452.67
2014-01-23,513.45,558.0,507.0,545.0,545.8,1106042.0,5902.27
2014-01-24,537.0,548.8,525.3,538.35,537.15,298425.0,1610.81
2014-01-27,532.0,567.7,525.0,550.0,545.6,480478.0,2654.76
2014-01-28,552.85,565.0,536.05,537.5,538.15,125514.0,688.76
2014-01-29,541.05,549.5,521.0,525.2,525.4,87987.0,473.47
2014-01-30,520.4,533.0,512.0,513.05,513.5,76094.0,395.29
2014-01-31,517.9,544.9,516.0,541.0,539.15,132058.0,701.9
2014-02-03,544.0,567.0,543.8,560.15,560.2,236906.0,1326.21
2014-02-04,558.95,563.95,545.15,550.4,550.45,116908.0,646.34
2014-02-05,552.05,557.7,548.05,550.0,550.1,39884.0,219.72
2014-02-06,550.8,554.8,533.0,536.9,534.75,64380.0,350.64
2014-02-07,535.05,554.0,535.05,540.3,540.6,59966.0,326.87
2014-02-10,541.0,551.0,536.0,540.0,540.35,30108.0,163.59
2014-02-11,540.0,548.0,535.1,541.1,541.55,32226.0,174.85
2014-02-12,540.55,565.0,540.55,560.0,561.1,272147.0,1518.7
2014-02-13,564.85,572.0,549.3,558.6,557.4,130274.0,734.25
2014-02-14,558.0,562.7,550.85,557.25,557.85,25736.0,143.43
2014-02-17,562.0,570.0,550.05,554.05,554.3,20053.0,111.74
2014-02-18,555.5,560.5,550.35,554.15,555.05,41208.0,228.81
2014-02-19,558.7,558.7,551.4,555.0,554.9,60972.0,338.37
2014-02-20,554.6,564.4,546.55,551.0,551.6,30935.0,171.71
2014-02-21,559.5,565.8,552.0,559.5,559.4,90298.0,506.06
2014-02-24,564.0,564.0,550.0,551.0,552.25,40017.0,223.22
2014-02-25,554.0,563.95,552.65,554.85,554.55,26865.0,149.69
2014-02-26,552.7,559.0,551.0,554.0,554.75,23473.0,130.3
2014-02-28,559.0,559.3,550.1,551.7,553.8,68344.0,378.64
2014-03-03,553.0,578.5,553.0,562.0,562.8,170465.0,967.52
2014-03-04,569.8,576.0,562.0,563.25,564.7,109089.0,618.67
2014-03-05,568.85,569.5,560.0,561.0,561.95,198612.0,1122.12
2014-03-06,562.5,565.35,551.5,557.0,557.5,52737.0,294.54
2014-03-07,560.0,563.0,550.2,554.0,553.95,46846.0,259.61
2014-03-10,552.0,556.25,537.0,539.8,539.1,43276.0,235.05
2014-03-11,540.0,543.25,518.6,521.0,519.75,71880.0,376.56
2014-03-12,520.0,535.8,520.0,524.0,522.9,58663.0,308.67
2014-03-13,523.05,534.8,523.05,528.9,528.7,45194.0,238.92
2014-03-14,529.0,557.6,520.25,537.4,535.4,203516.0,1109.78
2014-03-18,536.05,551.9,531.35,542.1,543.65,95677.0,521.73
2014-03-19,540.55,548.0,528.1,542.3,537.75,262434.0,1422.49
2014-03-20,534.5,544.95,534.5,540.8,540.55,28422.0,153.42
2014-03-21,544.95,561.9,541.2,560.0,557.95,90863.0,501.81
2014-03-22,563.0,563.0,552.3,559.7,558.65,4770.0,26.64
2014-03-24,558.0,568.45,547.0,551.0,550.7,39185.0,219.33
2014-03-25,548.25,554.65,540.3,545.35,545.5,23967.0,130.77
2014-03-26,544.8,549.7,538.0,541.7,544.45,85290.0,463.22
2014-03-27,543.1,555.0,537.0,544.45,544.5,51154.0,278.41
2014-03-28,541.2,548.8,522.1,527.3,529.3,64912.0,345.52
2014-03-31,530.0,540.0,522.1,523.25,524.25,67778.0,357.59
2014-04-01,530.2,538.0,520.25,536.0,534.3,67780.0,360.65
2014-04-02,530.2,556.0,530.2,546.35,549.8,122409.0,671.76
2014-04-03,564.0,575.0,556.0,558.9,558.25,171225.0,965.3
2014-04-04,563.95,565.5,559.3,562.0,562.75,98324.0,554.29
2014-04-07,563.25,567.55,548.0,549.95,549.95,178375.0,988.19
2014-04-09,552.0,565.0,552.0,559.0,559.45,78212.0,438.07
2014-04-10,568.0,644.0,564.0,566.65,568.2,412220.0,2396.27
2014-04-11,570.0,574.0,556.0,558.0,558.45,76059.0,429.28
2014-04-15,562.6,564.8,557.2,559.2,559.5,106264.0,596.31
2014-04-16,558.0,564.9,551.1,553.2,553.7,41229.0,230.23
2014-04-17,552.25,561.9,552.1,553.9,554.25,46016.0,255.81
2014-04-21,557.8,564.0,547.0,552.0,550.95,46643.0,258.17
2014-04-22,556.8,561.4,542.4,545.1,548.3,189423.0,1050.19
2014-04-23,545.45,562.9,545.45,560.5,559.95,59287.0,330.32
2014-04-25,560.65,565.0,550.0,561.0,560.35,47693.0,266.48
2014-04-28,555.35,567.0,555.35,566.0,563.45,40436.0,227.49
2014-04-29,560.25,597.45,560.1,585.0,586.05,302007.0,1765.19
2014-04-30,587.25,603.0,570.0,573.55,578.0,179056.0,1054.98
2014-05-02,578.0,591.95,577.0,585.55,585.55,62082.0,363.34
