Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,768.2,779.75,764.0,772.7,773.65,283118.0,2189.93
2014-01-01,772.5,779.65,766.0,766.95,768.8,139471.0,1077.41
2014-01-02,769.85,774.8,739.0,740.05,742.7,193075.0,1461.59
2014-01-03,737.4,760.0,734.7,756.0,754.15,209853.0,1570.71
2014-01-06,758.0,775.55,747.9,773.25,772.9,342970.0,2627.73
2014-01-07,774.9,783.45,750.35,751.85,754.7,251158.0,1923.64
2014-01-08,752.5,790.0,750.2,787.6,787.55,504394.0,3917.03
2014-01-09,790.1,792.55,765.0,775.9,773.2,228725.0,1778.33
2014-01-10,771.5,797.0,771.5,783.0,781.1,387825.0,3053.88
2014-01-13,781.5,784.95,765.0,782.0,778.15,180278.0,1393.66
2014-01-14,777.8,792.0,771.1,784.55,786.25,162698.0,1275.27
2014-01-15,784.0,790.0,775.0,788.0,786.05,277105.0,2168.76
2014-01-16,790.0,790.0,770.0,770.05,773.25,113542.0,880.84
2014-01-17,772.8,782.2,772.8,778.05,778.4,193826.0,1505.8
2014-01-20,776.1,796.15,770.0,794.35,792.35,212831.0,1668.94
2014-01-21,796.0,806.0,788.0,793.0,793.7,271298.0,2164.86
2014-01-22,788.0,805.0,781.0,798.05,799.0,208795.0,1663.13
2014-01-23,795.0,828.0,792.9,823.0,823.0,550982.0,4474.22
2014-01-24,819.7,820.0,768.3,801.8,802.8,615076.0,4868.56
2014-01-27,790.0,799.5,771.0,782.4,789.4,288267.0,2265.99
2014-01-28,785.0,810.0,772.0,805.2,801.8,263748.0,2095.32
2014-01-29,809.7,831.7,804.05,818.2,818.4,305957.0,2511.82
2014-01-30,813.0,824.75,784.2,791.5,791.9,315660.0,2532.77
2014-01-31,794.9,841.8,793.85,838.0,834.25,323480.0,2656.35
2014-02-03,833.5,854.4,820.65,822.2,824.05,309037.0,2596.2
2014-02-04,813.8,836.9,806.7,821.0,823.0,230685.0,1901.57
2014-02-05,823.0,833.3,820.05,825.35,825.1,104111.0,860.08
2014-02-06,830.8,830.8,801.0,826.05,822.8,160612.0,1313.47
2014-02-07,828.7,835.0,808.4,820.0,821.0,196984.0,1617.98
2014-02-10,825.85,828.0,811.1,814.05,814.75,135876.0,1111.83
2014-02-11,816.0,822.0,807.0,815.0,814.25,88473.0,720.43
2014-02-12,814.2,818.9,764.1,786.0,788.35,311270.0,2464.18
2014-02-13,804.1,821.6,800.0,802.0,803.7,295785.0,2394.75
2014-02-14,807.7,813.0,782.0,797.45,799.55,186079.0,1487.48
2014-02-17,800.0,802.95,786.6,787.3,791.55,99719.0,791.09
2014-02-18,787.3,797.8,782.2,785.0,787.5,275128.0,2172.02
2014-02-19,785.1,791.5,780.0,785.5,785.95,187050.0,1469.72
2014-02-20,782.0,786.65,776.55,777.9,779.8,156705.0,1223.28
2014-02-21,778.0,787.15,776.75,778.3,779.65,99718.0,780.54
2014-02-24,782.55,784.5,773.0,778.0,780.1,104132.0,810.95
2014-02-25,778.15,784.75,763.55,773.45,774.05,110055.0,853.42
2014-02-26,776.95,788.9,774.0,784.1,781.8,160535.0,1256.46
2014-02-28,786.5,809.0,784.55,804.0,802.5,310831.0,2477.11
2014-03-03,804.95,817.0,792.55,796.35,797.55,146663.0,1177.27
2014-03-04,801.7,806.45,791.05,796.5,797.05,78258.0,625.09
2014-03-05,802.75,810.0,786.0,806.65,806.85,156593.0,1254.16
2014-03-06,807.9,822.0,803.95,814.4,813.1,186716.0,1522.61
2014-03-07,807.0,819.8,801.1,810.0,813.55,133140.0,1079.83
2014-03-10,803.1,824.7,803.1,806.0,813.1,117072.0,951.78
2014-03-11,813.85,819.4,804.6,806.5,808.5,60189.0,488.21
2014-03-12,806.5,814.0,800.0,801.9,804.4,58886.0,474.14
2014-03-13,808.0,816.45,796.35,797.5,800.0,73101.0,590.18
2014-03-14,797.0,804.0,777.5,779.1,780.7,110535.0,867.95
2014-03-18,784.65,793.7,781.65,787.0,788.65,83631.0,660.03
2014-03-19,797.15,807.0,788.25,800.45,802.35,92050.0,736.7
2014-03-20,804.55,809.0,796.3,796.5,798.7,49805.0,399.19
2014-03-21,804.0,825.0,796.25,820.0,820.5,221240.0,1806.02
2014-03-22,823.0,832.0,823.0,828.0,829.3,45768.0,379.5
2014-03-24,832.5,837.0,816.0,819.0,821.0,119040.0,979.05
2014-03-25,819.75,829.0,817.1,824.9,825.45,70351.0,580.04
2014-03-26,827.7,828.9,816.6,823.15,825.0,54079.0,445.49
2014-03-27,827.0,827.0,804.05,808.95,807.7,139936.0,1135.44
2014-03-28,813.6,838.85,806.35,818.6,823.3,179239.0,1475.44
2014-03-31,819.45,830.0,818.55,823.0,824.0,103832.0,855.35
2014-04-01,826.0,828.0,818.0,823.0,824.95,59898.0,493.61
2014-04-02,825.75,829.85,818.0,820.3,823.1,91730.0,756.11
2014-04-03,821.0,833.35,805.0,809.75,810.45,165786.0,1356.14
2014-04-04,813.7,817.6,800.1,800.5,803.5,56547.0,457.25
2014-04-07,804.9,814.25,789.3,810.45,808.2,120563.0,964.69
2014-04-09,819.9,819.9,796.5,814.75,814.5,94104.0,761.19
2014-04-10,806.25,823.7,806.25,821.15,820.25,106336.0,868.75
2014-04-11,814.6,824.1,810.1,815.35,820.5,73792.0,604.26
2014-04-15,835.0,859.0,820.5,824.1,824.4,223166.0,1864.99
2014-04-16,831.75,834.95,807.0,810.95,811.55,82688.0,676.04
2014-04-17,813.0,821.5,804.15,819.9,816.95,80409.0,654.19
2014-04-21,820.0,823.95,806.5,809.0,812.15,68258.0,554.22
2014-04-22,812.05,817.85,804.3,807.2,808.75,47800.0,386.82
2014-04-23,810.8,820.0,796.7,798.4,800.0,127745.0,1025.08
2014-04-25,795.0,810.0,795.0,806.35,803.95,57712.0,464.5
2014-04-28,796.1,827.5,795.05,801.0,802.8,132247.0,1073.79
2014-04-29,798.1,820.9,798.1,802.0,803.35,116259.0,941.02
2014-04-30,803.8,814.5,780.0,786.8,789.7,87960.0,699.5
2014-05-02,794.9,796.75,778.0,782.15,782.15,64766.0,507.55
2014-05-05,779.4,789.25,770.15,772.0,771.75,61846.0,480.93
