Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1745.0,1770.0,1739.6,1766.0,1764.1,70342.0,1236.18
2014-01-01,1769.0,1773.0,1746.0,1772.0,1769.25,51796.0,912.55
2014-01-02,1760.5,1777.9,1726.0,1731.0,1731.1,81220.0,1420.15
2014-01-03,1720.0,1753.45,1705.1,1727.0,1727.2,78848.0,1362.47
2014-01-06,1726.5,1732.8,1706.9,1723.05,1724.3,65748.0,1131.25
2014-01-07,1729.0,1734.65,1682.0,1687.0,1690.2,98004.0,1669.62
2014-01-08,1695.0,1712.0,1681.45,1692.0,1700.85,84069.0,1428.52
2014-01-09,1700.0,1700.0,1675.6,1676.5,1688.55,332263.0,5617.67
2014-01-10,1684.7,1691.85,1643.65,1672.0,1671.8,251293.0,4194.22
2014-01-13,1670.25,1691.9,1651.9,1669.5,1669.55,152716.0,2554.43
2014-01-14,1660.5,1670.0,1634.0,1650.05,1648.0,87817.0,1452.49
2014-01-15,1652.25,1720.0,1641.3,1710.0,1710.1,132016.0,2225.96
2014-01-16,1712.25,1755.0,1697.4,1752.0,1747.2,214732.0,3724.04
2014-01-17,1748.0,1756.0,1706.5,1716.0,1719.25,285994.0,4951.58
2014-01-20,1719.5,1725.0,1685.0,1718.75,1718.95,242621.0,4157.24
2014-01-21,1720.0,1720.0,1696.2,1700.1,1699.75,223992.0,3822.15
2014-01-22,1704.0,1704.0,1668.0,1702.05,1694.7,664324.0,11205.49
2014-01-23,1695.05,1729.9,1676.0,1724.95,1706.05,70498.0,1198.97
2014-01-24,1711.0,1732.0,1691.5,1700.0,1699.75,140784.0,2396.2
2014-01-27,1674.0,1708.5,1662.05,1700.0,1700.05,157548.0,2671.45
2014-01-28,1693.0,1709.5,1670.05,1695.0,1694.8,63905.0,1080.74
2014-01-29,1701.1,1729.0,1672.1,1701.0,1703.35,100701.0,1710.46
2014-01-30,1681.0,1709.9,1662.5,1698.9,1686.15,227549.0,3835.21
2014-01-31,1714.9,1720.0,1678.0,1714.0,1710.7,95706.0,1627.16
2014-02-03,1725.0,1736.95,1675.8,1683.7,1690.05,84364.0,1445.32
2014-02-04,1678.0,1717.0,1665.0,1671.05,1674.1,91012.0,1529.89
2014-02-05,1675.2,1687.1,1665.0,1681.0,1679.65,577216.0,9660.49
2014-02-06,1699.8,1703.0,1650.3,1692.8,1696.75,150039.0,2525.41
2014-02-07,1692.0,1739.0,1692.0,1739.0,1729.05,78752.0,1354.34
2014-02-10,1738.0,1750.25,1720.15,1723.8,1724.85,51216.0,885.41
2014-02-11,1731.3,1731.3,1692.0,1700.0,1699.35,50543.0,859.84
2014-02-12,1705.5,1714.0,1696.0,1705.15,1705.7,77023.0,1313.47
2014-02-13,1709.6,1714.6,1676.0,1679.5,1688.45,89929.0,1524.87
2014-02-14,1688.45,1690.1,1651.1,1653.0,1666.35,70557.0,1174.7
2014-02-17,1670.1,1679.85,1657.5,1662.25,1667.5,31840.0,530.92
2014-02-18,1675.0,1703.0,1673.65,1690.0,1690.9,76714.0,1297.66
2014-02-19,1705.0,1715.0,1696.35,1705.0,1706.45,71257.0,1217.49
2014-02-20,1693.4,1716.0,1675.25,1703.8,1702.05,92694.0,1575.22
2014-02-21,1700.0,1813.3,1690.05,1799.0,1799.95,274804.0,4859.99
2014-02-24,1786.0,1845.0,1771.15,1840.0,1838.15,157657.0,2866.85
2014-02-25,1838.0,1879.0,1834.0,1863.0,1865.75,148155.0,2743.88
2014-02-26,1853.2,1863.0,1818.25,1843.0,1844.1,219350.0,4042.37
2014-02-28,1851.75,1864.0,1826.15,1830.0,1839.2,226586.0,4173.55
2014-03-03,1834.8,1845.9,1820.4,1828.0,1826.75,46525.0,852.93
2014-03-04,1829.25,1885.9,1823.55,1874.0,1877.55,144401.0,2672.31
2014-03-05,1888.9,1910.0,1855.35,1894.95,1897.95,199776.0,3781.29
2014-03-06,1895.1,1967.65,1895.1,1960.0,1960.05,131172.0,2546.9
2014-03-07,1942.3,1998.0,1942.3,1976.0,1973.75,182120.0,3601.89
2014-03-10,1952.55,2009.0,1952.55,1990.0,1989.75,178005.0,3548.35
2014-03-11,1990.0,2019.9,1973.05,2000.0,2003.3,180057.0,3607.9
2014-03-12,2003.3,2003.3,1952.4,1967.9,1964.45,102832.0,2022.96
2014-03-13,1970.25,2017.8,1950.0,1965.0,1958.4,135092.0,2673.11
2014-03-14,1952.0,1983.8,1935.6,1969.95,1969.95,174903.0,3437.03
2014-03-18,1979.95,1983.6,1960.65,1970.0,1968.2,136012.0,2685.71
2014-03-19,1965.4,1987.75,1965.4,1979.0,1978.85,129451.0,2562.08
2014-03-20,1965.05,1982.1,1936.6,1949.0,1944.55,112317.0,2193.63
