Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,555.0,561.5,549.25,559.0,559.2,704304.0,3915.72
2014-01-01,564.0,564.0,551.1,552.0,552.7,443007.0,2458.09
2014-01-02,552.7,556.8,546.15,553.2,552.95,915486.0,5059.13
2014-01-03,547.0,558.4,546.3,557.9,556.6,1107663.0,6143.52
2014-01-06,559.9,564.8,555.0,557.0,558.0,1855578.0,10382.66
2014-01-07,558.0,558.7,545.0,549.0,550.2,1232292.0,6793.66
2014-01-08,549.0,550.9,543.45,546.15,547.15,1077593.0,5897.23
2014-01-09,547.0,553.75,537.55,542.0,540.9,1637153.0,8886.28
2014-01-10,543.1,556.9,531.6,552.0,553.35,2657892.0,14628.07
2014-01-13,555.0,568.0,555.0,562.5,561.45,1891221.0,10624.25
2014-01-14,562.55,563.0,549.6,553.75,553.6,1460471.0,8093.52
2014-01-15,557.25,564.0,551.7,560.0,560.7,1303011.0,7274.2
2014-01-16,555.0,573.85,555.0,570.5,571.55,1717084.0,9717.4
2014-01-17,575.0,575.9,549.3,556.7,552.7,2517653.0,14043.08
2014-01-20,552.6,577.7,552.1,574.0,573.05,4712091.0,26900.21
2014-01-21,574.75,578.0,568.4,572.05,571.55,2214120.0,12685.46
2014-01-22,570.0,582.85,568.05,576.9,577.95,2096716.0,12092.65
2014-01-23,576.0,580.35,565.0,578.6,578.5,2039827.0,11696.32
2014-01-24,575.6,587.0,570.45,573.0,572.85,2151627.0,12483.54
2014-01-27,570.0,579.0,565.7,569.05,570.55,1949218.0,11159.05
2014-01-28,568.8,572.9,564.1,569.0,567.6,1152906.0,6545.74
2014-01-29,565.0,575.8,565.0,571.0,571.5,1140851.0,6528.48
2014-01-30,568.0,574.8,561.65,570.5,571.2,1943078.0,11064.5
2014-01-31,571.9,579.65,569.8,573.8,575.05,1046685.0,6022.45
2014-02-03,563.2,574.0,562.15,563.1,565.95,1131649.0,6440.32
2014-02-04,561.7,561.7,544.0,556.0,555.65,2108872.0,11638.68
2014-02-05,558.0,565.45,550.8,560.4,560.4,1585005.0,8890.34
2014-02-06,559.1,571.7,555.0,567.0,568.55,2669065.0,15111.07
2014-02-07,569.95,573.85,556.55,561.5,561.65,1380044.0,7791.52
2014-02-10,563.0,569.6,561.1,561.1,563.2,1045040.0,5915.13
2014-02-11,566.0,571.4,560.3,562.3,563.15,1364572.0,7714.33
2014-02-12,564.55,571.2,558.05,562.0,562.45,1418547.0,7993.49
2014-02-13,565.0,566.0,549.8,557.0,555.2,1089476.0,6043.49
2014-02-14,556.55,566.25,552.7,565.0,563.8,1194129.0,6673.98
2014-02-17,565.0,569.5,557.0,563.2,561.0,856546.0,4809.47
2014-02-18,559.25,564.9,554.45,555.65,557.05,922441.0,5163.91
2014-02-19,556.0,568.0,556.0,567.25,565.55,746613.0,4193.32
2014-02-20,564.95,570.65,561.1,564.9,565.2,1095687.0,6202.33
2014-02-21,565.5,575.0,565.5,571.55,571.55,1353479.0,7730.94
2014-02-24,573.1,581.95,570.0,578.65,577.65,1041237.0,6007.19
2014-02-25,580.0,598.0,580.0,595.0,596.25,1651574.0,9747.84
2014-02-26,596.0,611.0,593.7,599.7,603.05,2739680.0,16552.49
2014-02-28,603.0,605.0,589.5,597.2,597.25,1820677.0,10863.7
2014-03-03,600.0,600.0,583.1,585.0,585.9,934482.0,5516.33
2014-03-04,586.0,594.8,585.15,588.4,588.2,1403123.0,8276.07
2014-03-05,593.1,596.0,586.45,590.2,590.5,1679861.0,9964.78
2014-03-06,592.0,594.85,583.5,584.6,584.85,1244942.0,7327.41
2014-03-07,588.0,588.0,559.95,565.5,565.35,1981648.0,11225.92
2014-03-10,564.1,571.75,555.1,557.0,557.25,2073312.0,11631.06
2014-03-11,557.0,566.55,553.4,558.0,559.85,1796880.0,10067.68
2014-03-12,559.9,570.0,559.0,568.35,566.75,1211907.0,6869.83
2014-03-13,562.0,574.8,550.6,564.05,563.6,1969289.0,11114.48
2014-03-14,564.0,564.0,544.6,547.55,547.6,2234360.0,12327.76
2014-03-18,550.0,551.0,537.25,540.25,540.45,1820785.0,9914.62
2014-03-19,540.55,549.95,528.7,545.0,545.1,2138912.0,11548.28
2014-03-20,547.0,559.8,546.0,552.0,552.35,1691269.0,9384.3
2014-03-21,558.65,577.5,554.0,567.15,568.2,3412152.0,19374.46
2014-03-22,567.9,571.4,564.1,569.9,569.65,106326.0,604.84
2014-03-24,571.0,575.0,561.15,563.05,562.8,1045777.0,5934.06
2014-03-25,557.35,559.95,546.15,547.35,548.5,2300896.0,12739.97
2014-03-26,550.9,557.7,544.0,545.0,545.55,1344740.0,7409.58
2014-03-27,546.0,559.95,540.0,555.0,553.4,2207336.0,12115.53
2014-03-28,554.05,559.45,550.45,551.8,552.05,1133226.0,6282.29
2014-03-31,552.0,554.1,538.5,545.0,543.2,2666235.0,14482.64
2014-04-01,547.0,563.0,546.95,562.0,561.05,1886694.0,10502.01
2014-04-02,564.5,572.5,559.0,563.6,565.9,1796200.0,10196.29
2014-04-03,565.0,568.05,557.65,559.95,560.95,923771.0,5188.46
2014-04-04,565.0,568.95,551.45,553.05,553.4,1028562.0,5766.8
2014-04-07,553.0,560.6,551.45,557.0,556.9,1139018.0,6341.68
2014-04-09,559.0,562.45,549.5,555.5,554.45,1444851.0,8003.09
2014-04-10,555.0,564.9,550.5,561.0,561.2,1445069.0,8100.87
2014-04-11,555.6,570.8,551.0,567.55,568.1,1766113.0,9891.87
2014-04-15,565.05,591.35,565.05,590.5,588.55,2355416.0,13735.54
2014-04-16,594.7,594.7,568.1,572.5,572.1,1979808.0,11499.55
2014-04-17,576.9,589.55,573.55,587.85,585.85,1898422.0,11100.47
2014-04-21,566.0,568.3,544.05,545.0,546.2,5708980.0,31612.29
2014-04-22,549.0,554.9,526.0,531.7,530.55,4252307.0,22843.78
2014-04-23,533.0,538.7,521.0,526.6,524.7,4505036.0,23833.04
2014-04-25,527.5,528.65,517.0,518.0,519.25,3071291.0,15972.6
2014-04-28,520.05,531.6,518.0,530.5,529.6,3187852.0,16775.61
2014-04-29,531.0,536.5,523.0,525.0,524.8,2276633.0,12103.0
2014-04-30,529.0,529.9,517.6,526.0,522.35,2424985.0,12680.54
2014-05-02,518.2,530.8,518.2,528.5,528.5,2138626.0,11243.92
2014-05-05,524.0,529.0,519.05,520.0,520.75,1748280.0,9132.0
2014-05-06,519.0,525.0,513.65,513.9,514.85,1287041.0,6652.96
2014-05-07,510.1,514.65,500.0,507.0,506.1,3703693.0,18683.52
2014-05-08,505.65,515.7,501.6,511.0,510.95,1545947.0,7901.91
2014-05-09,508.0,517.9,508.0,512.1,513.95,1475798.0,7600.06
2014-05-12,513.35,516.0,501.75,515.05,511.95,2960446.0,15022.38
2014-05-13,515.0,530.4,512.5,528.25,529.2,1927501.0,10101.31
2014-05-14,531.0,531.95,522.1,523.8,524.55,1393190.0,7325.64
2014-05-15,525.3,526.95,513.0,518.0,516.5,1461152.0,7569.5
2014-05-16,521.0,531.0,497.5,501.9,502.8,4826811.0,24558.69
2014-05-19,503.25,504.85,474.7,481.2,482.05,3612336.0,17401.06
2014-05-20,486.0,498.7,483.4,497.5,494.65,3068579.0,15067.8
2014-05-21,496.0,498.1,486.2,491.0,493.1,2286858.0,11261.59
2014-05-22,494.9,497.0,482.05,483.0,483.5,2255478.0,10978.74
2014-05-23,483.7,493.5,480.45,491.0,490.0,2680509.0,13124.06
2014-05-26,493.0,509.9,490.1,509.05,506.0,2677961.0,13429.74
2014-05-27,511.7,518.65,503.25,508.0,508.2,2077898.0,10628.33
2014-05-28,512.0,515.7,503.25,513.5,514.25,1934294.0,9902.74
2014-05-29,514.0,514.3,495.05,499.5,499.8,2600664.0,13048.65
2014-05-30,500.0,509.4,485.0,505.95,506.2,2350716.0,11749.02
2014-06-02,506.7,507.0,498.0,500.05,499.1,1189526.0,5946.21
2014-06-03,503.9,503.9,492.1,494.45,494.2,1848280.0,9158.46
2014-06-04,496.0,497.05,485.2,492.7,492.05,1745959.0,8551.82
2014-06-05,493.5,502.5,490.35,501.0,500.95,2068198.0,10328.79
2014-06-06,504.0,510.7,495.0,509.65,509.15,2243028.0,11320.48
2014-06-09,510.0,516.1,505.1,513.0,511.75,1597783.0,8187.07
2014-06-10,511.8,526.3,511.8,525.5,525.0,3170320.0,16560.4
2014-06-11,526.4,537.5,523.7,526.2,527.7,2880498.0,15308.14
2014-06-12,532.05,533.95,522.75,531.0,532.15,2013539.0,10674.91
2014-06-13,532.25,535.65,525.0,530.5,530.4,1646477.0,8722.74
2014-06-16,531.4,538.0,529.05,536.2,536.1,1964206.0,10511.36
2014-06-17,539.0,542.0,533.7,535.3,536.1,1670249.0,8981.97
2014-06-18,537.85,539.25,528.15,530.0,530.5,1406939.0,7487.71
2014-06-19,528.0,539.95,527.85,537.0,537.2,1802666.0,9678.12
2014-06-20,540.5,543.3,531.2,538.0,536.8,1205723.0,6464.96
2014-06-23,534.1,537.0,529.0,531.9,531.4,980226.0,5214.24
2014-06-24,534.0,534.0,527.2,530.6,531.3,1065573.0,5651.68
2014-06-25,531.1,534.0,526.0,528.5,529.15,1186346.0,6278.51
2014-06-26,531.0,539.9,529.1,538.1,535.45,2881314.0,15398.37
2014-06-27,540.0,549.0,536.3,546.5,545.95,1870455.0,10191.19
2014-06-30,548.95,553.0,543.65,545.0,546.4,1431986.0,7853.04
2014-07-01,547.9,547.9,536.0,538.0,538.2,1408426.0,7596.22
2014-07-02,542.0,548.65,538.4,540.65,540.85,1612823.0,8770.23
2014-07-03,547.0,558.05,544.15,554.4,555.5,2241467.0,12343.93
2014-07-04,559.5,559.55,543.9,546.0,546.75,1138062.0,6262.33
2014-07-07,549.0,559.0,549.0,558.1,557.6,1957549.0,10871.69
2014-07-08,558.0,558.85,548.0,549.0,549.75,1293713.0,7139.91
2014-07-09,549.25,554.9,541.3,543.6,545.3,980781.0,5365.5
