Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,278.35,281.35,275.4,276.55,276.6,678082.0,1882.6
2014-01-01,275.25,280.65,275.25,277.0,277.0,406220.0,1130.0
2014-01-02,277.05,284.4,277.05,280.0,279.9,1450520.0,4071.71
2014-01-03,278.0,283.0,276.0,281.25,281.0,939877.0,2636.85
2014-01-06,280.9,294.95,278.65,286.85,287.15,3360584.0,9728.42
2014-01-07,288.1,291.45,282.65,285.5,285.7,2698073.0,7740.93
2014-01-08,285.8,288.0,282.4,285.3,285.2,2154240.0,6143.95
2014-01-09,282.1,297.1,282.1,289.0,288.75,3633639.0,10530.16
2014-01-10,289.0,296.9,287.5,295.0,295.1,3580563.0,10498.82
2014-01-13,295.25,300.4,292.7,295.15,295.95,704200.0,2090.35
2014-01-14,297.4,297.4,282.2,283.45,284.55,1024574.0,2941.55
2014-01-15,283.75,287.4,278.2,280.35,280.7,1634885.0,4595.67
2014-01-16,281.55,283.65,277.5,277.5,278.0,1141556.0,3183.49
2014-01-17,278.5,284.0,276.5,279.0,278.6,956754.0,2674.6
2014-01-20,278.65,285.45,278.65,283.65,284.1,1001519.0,2826.32
2014-01-21,284.25,287.4,280.5,281.55,281.6,1038427.0,2940.31
2014-01-22,282.0,287.1,279.0,284.3,284.2,2635235.0,7491.24
2014-01-23,285.5,286.5,276.6,282.3,282.25,1807921.0,5081.52
2014-01-24,281.4,284.3,278.05,279.15,278.85,1364843.0,3818.49
2014-01-27,276.0,276.25,263.6,267.0,265.85,1942148.0,5204.24
2014-01-28,265.45,271.0,256.65,266.95,265.7,2263844.0,5992.65
2014-01-29,265.7,267.0,257.4,259.8,259.4,2017301.0,5317.15
2014-01-30,255.65,259.45,254.15,257.2,256.0,3382153.0,8664.22
2014-01-31,260.4,268.4,257.55,266.9,266.45,3193898.0,8448.08
2014-02-03,265.2,274.45,264.0,268.5,269.1,2228610.0,6000.42
2014-02-04,268.4,275.5,264.2,270.9,270.95,1190926.0,3222.68
2014-02-05,272.4,274.15,265.4,267.25,267.65,1714764.0,4593.18
2014-02-06,268.65,270.65,265.45,267.2,268.95,977138.0,2620.2
2014-02-07,270.0,275.0,268.55,271.5,271.8,1102162.0,2998.22
2014-02-10,271.5,274.45,267.1,270.0,270.05,763913.0,2065.25
2014-02-11,269.0,271.45,264.5,264.95,265.2,690860.0,1843.73
2014-02-12,265.75,268.9,263.05,265.0,264.6,3431439.0,9098.28
2014-02-13,262.8,266.8,260.55,264.1,264.3,2906327.0,7665.75
2014-02-14,263.1,263.1,257.2,261.65,261.4,2816752.0,7345.32
2014-02-17,261.4,264.9,258.65,263.2,262.5,4240044.0,11089.22
2014-02-18,262.8,268.3,261.85,266.8,266.85,3803958.0,10069.92
2014-02-19,268.65,269.25,262.0,262.4,263.1,2287978.0,6048.71
2014-02-20,261.0,267.55,261.0,265.0,264.4,1240711.0,3296.33
2014-02-21,266.0,271.5,265.15,270.35,269.85,1712605.0,4620.27
2014-02-24,271.2,271.7,261.3,263.0,262.1,3061522.0,8057.86
2014-02-25,263.0,266.6,262.15,264.05,264.4,2078008.0,5500.69
2014-02-26,265.45,271.1,263.4,267.95,267.05,4471723.0,11941.61
2014-02-28,268.1,279.4,255.55,272.2,268.7,26989816.0,72754.15
2014-03-03,259.0,270.85,257.9,268.45,267.3,4394526.0,11698.8
2014-03-04,267.3,271.9,267.3,270.1,270.1,1707242.0,4611.22
2014-03-05,271.0,274.4,271.0,272.5,272.4,2839750.0,7753.35
2014-03-06,272.5,276.0,271.05,274.2,273.75,1497517.0,4101.74
2014-03-07,274.4,279.7,272.65,277.5,277.85,2919808.0,8073.82
2014-03-10,278.0,289.85,275.25,283.1,281.9,4139375.0,11794.48
2014-03-11,282.05,283.4,275.8,280.05,280.15,1826872.0,5095.97
2014-03-12,279.2,289.5,278.45,289.4,287.75,1777179.0,5067.37
2014-03-13,285.0,286.8,277.75,279.4,279.2,2182410.0,6154.44
2014-03-14,279.3,280.95,273.6,277.0,276.9,1854474.0,5128.25
2014-03-18,274.3,283.3,273.65,280.85,282.35,2472383.0,6906.74
2014-03-19,283.5,284.2,276.0,279.1,280.15,4478778.0,12502.24
2014-03-20,280.55,284.0,277.2,277.85,278.35,1146695.0,3222.65
2014-03-21,280.9,288.95,277.8,288.0,287.95,2770930.0,7887.71
2014-03-22,288.5,288.5,284.8,286.0,285.9,121530.0,347.39
2014-03-24,287.0,295.6,286.2,290.8,290.25,2147262.0,6263.67
2014-03-25,290.1,291.6,285.2,288.2,287.8,1265727.0,3645.95
2014-03-26,289.7,289.7,277.4,278.2,278.8,1588879.0,4493.88
2014-03-27,278.1,281.75,270.35,272.2,271.1,5207941.0,14214.72
2014-03-28,273.0,274.3,267.0,271.0,271.3,2184327.0,5902.44
2014-03-31,273.75,276.5,270.35,272.0,271.35,3154640.0,8600.04
2014-04-01,273.8,277.35,271.7,273.5,273.4,1310101.0,3590.0
2014-04-02,275.85,281.5,274.1,279.2,279.0,2835976.0,7910.19
2014-04-03,280.45,282.0,276.0,280.55,280.75,2029631.0,5662.8
2014-04-04,278.05,281.8,275.4,275.6,276.05,1269800.0,3536.12
2014-04-07,276.0,278.35,273.6,275.05,274.55,4658623.0,12810.35
2014-04-09,275.05,275.75,270.9,274.95,274.7,3046210.0,8363.72
2014-04-10,275.0,280.2,274.35,279.4,279.3,2687067.0,7477.02
2014-04-11,279.3,282.9,273.55,276.3,275.35,1761902.0,4908.5
2014-04-15,276.3,277.35,265.1,267.5,266.5,2556607.0,6837.4
2014-04-16,266.0,272.9,266.0,268.1,268.7,1076727.0,2907.31
2014-04-17,268.0,269.5,262.1,263.0,262.55,1981985.0,5232.28
2014-04-21,264.0,269.2,261.25,268.1,267.25,1589176.0,4226.54
2014-04-22,267.4,269.85,260.05,261.5,260.9,1682482.0,4431.66
2014-04-23,261.0,267.8,260.9,266.0,265.75,1457955.0,3863.35
2014-04-25,267.0,272.35,266.8,268.6,268.95,2029693.0,5471.11
2014-04-28,270.0,272.45,267.65,269.45,269.45,1753759.0,4733.32
2014-04-29,270.0,271.35,262.5,264.05,264.55,700454.0,1863.33
2014-04-30,265.0,268.4,258.95,262.8,262.6,910856.0,2407.72
2014-05-02,262.5,270.5,262.5,269.5,269.5,2641901.0,7072.15
2014-05-05,270.45,271.0,265.0,265.3,267.0,861847.0,2303.07
2014-05-06,266.7,268.35,262.1,263.5,263.25,603884.0,1595.16
2014-05-07,263.0,264.4,260.6,261.5,261.7,635333.0,1666.53
2014-05-08,263.0,264.45,260.85,262.2,261.85,1732209.0,4539.11
2014-05-09,262.8,264.2,261.25,263.2,262.75,3739301.0,9822.85
2014-05-12,264.0,279.7,264.0,277.45,277.95,2897962.0,7928.56
2014-05-13,280.9,282.6,274.0,276.05,276.35,1829510.0,5096.71
2014-05-14,276.5,279.75,273.2,274.35,275.9,804654.0,2219.63
2014-05-15,275.95,277.95,267.45,268.3,268.9,958905.0,2597.37
2014-05-16,270.25,279.0,269.2,273.5,274.35,1781753.0,4905.05
2014-05-19,278.8,282.0,271.25,272.95,272.75,3821649.0,10553.89
2014-05-20,274.9,290.8,273.75,290.0,288.5,4029565.0,11475.5
2014-05-21,290.0,302.0,278.0,291.05,293.6,4063279.0,11932.86
2014-05-22,294.0,294.7,275.0,276.5,275.9,5124917.0,14348.14
2014-05-23,279.85,281.8,272.75,274.55,273.9,2868384.0,7926.4
2014-05-26,276.85,279.5,270.25,275.0,275.65,2434783.0,6725.07
2014-05-27,275.55,278.45,272.1,275.1,275.9,1333190.0,3673.04
2014-05-28,278.15,278.15,268.2,270.9,269.55,3790658.0,10244.25
