Date,Close,High,Last,Low,Open,Total Trade Quantity,Turnover (Lacs),scrip
19-06-14,225.95,234.35,225.6,224.6,231,2672876,6100,ADANIPORTS
20-06-14,232.6,236,233.85,223.1,224.45,3228673,7456.16,ADANIPORTS
09-12-14,269.2,279.85,268.85,266.05,275.05,1934181,5266.89,ADANIPORTS
10-12-14,275.25,277.6,274.35,268.35,269,1964268,5373.17,ADANIPORTS
11-12-15,241.15,250.4,241.3,238.75,247.95,3975604,9696.36,ADANIPORTS
14-12-15,254.55,255.5,254.9,239.15,239.8,4625481,11611.92,ADANIPORTS
11-02-14,574.45,582.85,574,571.7,578.05,23280,134.55,ABB
12-02-14,583.1,592.9,581,571,571,57070,334.39,ABB
08-05-14,1269.7,1290,1269,1261.1,1275.25,222403,2828.27,ACC
09-05-14,1341.1,1347.45,1340,1265.05,1267.95,305740,4028.5,ACC
25-09-14,1399.05,1444.7,1403,1390.2,1431.1,343922,4836.27,ACC
26-09-14,1435.15,1442.85,1441,1385.3,1396.7,360391,5079.77,ACC
07-10-14,1369.6,1391.8,1370.05,1354.65,1377.95,472881,6465.04,ACC
08-10-14,1380.2,1385.95,1384,1357.1,1357.1,249181,3423.9,ACC
08-06-15,1429.55,1443,1429,1420.1,1434.5,536457,7673.74,ACC
09-06-15,1441.1,1446,1435.15,1421,1421,204577,2936.28,ACC
20-05-16,1393.45,1418.85,1392.7,1390.15,1415,132709,1864.8,ACC
23-05-16,1418,1428,1420,1390,1393.25,321582,4555.33,ACC
17-02-14,151.05,153.45,150.9,150.35,151.6,1576781,2390.85,AMBUJACEM
18-02-14,152.75,153.75,152.95,150.65,150.95,1423576,2171.07,AMBUJACEM
08-05-14,192.95,195.2,192.8,192.1,194.05,1132872,2191.71,AMBUJACEM
09-05-14,207.15,208,206,192.15,192.15,2239453,4542.96,AMBUJACEM
27-05-14,208.45,213.4,208.15,202.2,212.4,1948564,4028.9,AMBUJACEM
28-05-14,219.6,220.2,219.9,208.1,208.1,3363451,7281.85,AMBUJACEM
15-06-15,215.65,219.8,215.75,215.1,218.5,1311042,2835.74,AMBUJACEM
16-06-15,219.55,221,220,214.3,215.65,1211923,2633.13,AMBUJACEM
30-10-16,240.2,243.05,239.55,238.8,241.95,256140,618.03,AMBUJACEM
01-11-16,244.5,245.7,244.15,238.5,239.7,4536782,11027.77,AMBUJACEM
14-03-14,863.95,873,863.5,858,873,221085,1910.4,APOLLOHOSP
18-03-14,874.45,877,875.4,859.6,863.3,124700,1087.99,APOLLOHOSP
23-10-15,1406,1421.75,1405,1385,1410.4,329820,4640.56,APOLLOHOSP
26-10-15,1420.4,1434.8,1417.2,1401.15,1401.15,206156,2936.16,APOLLOHOSP
13-11-15,1249,1269.9,1250,1240.2,1269.9,139225,1739.95,APOLLOHOSP
16-11-15,1279.6,1286.85,1281,1213,1245,285736,3578.76,APOLLOHOSP
26-12-16,1126,1136.75,1125.2,1111.6,1135,129792,1458.23,APOLLOHOSP
27-12-16,1141.1,1145,1140,1117.9,1124.5,122414,1391.53,APOLLOHOSP
09-02-15,57.35,60.15,57.1,56.85,60,13899915,8136.33,ASHOKLEY
10-02-15,60.85,61.9,61.25,56,56.95,31635267,19011,ASHOKLEY
27-04-15,65.6,67.8,65.45,63.8,67.55,17326349,11369.33,ASHOKLEY
28-04-15,68.45,68.75,68.6,64.35,65,14083599,9463.67,ASHOKLEY
27-04-15,1179.7,1220,1177.1,1154.75,1200,800648,9451.72,BHARATFORG
28-04-15,1215.55,1222.5,1214.9,1160,1162.3,865963,10378.82,BHARATFORG
